               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11134,            0.014821,            0.079202,           0.0089583,               0.525,            0.019242,           0.0037039,            0.071655,            0.010829,            0.048037,              0.0982,              0.0002,              0.0002
                   1,             0.10874,            0.014117,            0.073608,           0.0083369,               0.525,            0.020721,           0.0036204,            0.069221,            0.011316,            0.047817,            0.095499,          0.00049901,          0.00049901
                   2,             0.10108,            0.018211,            0.075167,           0.0083068,               0.575,            0.016454,           0.0034744,              0.0655,            0.012086,            0.047308,            0.092797,          0.00079683,          0.00079683
                   3,            0.093722,            0.019441,            0.071784,            0.011488,               0.725,            0.019744,           0.0048967,            0.060078,            0.013256,            0.046456,            0.090093,           0.0010935,           0.0010935
                   4,            0.088435,            0.024825,            0.067605,            0.012766,                0.85,            0.029019,           0.0067038,            0.055677,            0.014129,            0.045217,            0.087389,           0.0013889,           0.0013889
                   5,            0.083266,            0.020752,            0.065019,            0.013854,                0.95,            0.034843,           0.0078603,            0.051142,            0.014878,            0.043842,            0.084683,           0.0016832,           0.0016832
                   6,            0.079731,            0.026648,            0.060605,            0.013283,                   1,            0.033475,            0.011049,            0.047925,            0.014995,            0.042092,            0.081976,           0.0019762,           0.0019762
                   7,            0.074482,            0.024876,              0.0593,            0.012348,                   1,            0.043762,             0.01238,            0.046564,            0.015165,             0.04098,            0.079268,           0.0022681,           0.0022681
                   8,            0.074855,             0.02472,            0.055026,            0.010933,                   1,            0.053947,            0.017193,            0.047159,            0.014635,            0.038605,            0.076559,           0.0025588,           0.0025588
                   9,            0.071083,            0.028413,            0.050281,            0.010707,                   1,            0.085754,            0.026323,            0.044972,             0.01444,             0.03618,            0.073848,           0.0028483,           0.0028483
                  10,            0.068215,            0.024761,            0.047619,            0.047911,                   1,             0.17081,             0.04439,            0.045077,            0.013383,            0.031345,            0.071137,           0.0031366,           0.0031366
